id;type;source_name;proposed_canonical;reason;decision;override_canonical;notes;;;;;
Smith_Machine_Bench_Press;alias;Smith Machine Bench Press;Bench Press;equipment_conflict;reject;;;;;;;
Smith_Machine_Bent_Over_Row;alias;Smith Machine Bent Over Row;Barbell Row;equipment_conflict;reject;;;;;;;
Smith_Machine_Close-Grip_Bench_Press;alias;Smith Machine Close-Grip Bench Press;Close Grip Bench Press;equipment_conflict;reject;;;;;;;
Smith_Machine_Incline_Bench_Press;alias;Smith Machine Incline Bench Press;Incline Bench Press;equipment_conflict;reject;;;;;;;
Smith_Machine_One-Arm_Upright_Row;alias;Smith Machine One-Arm Upright Row;Upright Row;equipment_conflict;reject;;;;;;;
Smith_Machine_Squat;alias;Smith Machine Squat;Squat;equipment_conflict;reject;;;;;;;
Smith_Machine_Upright_Row;alias;Smith Machine Upright Row;Upright Row;equipment_conflict;reject;;;;;;;
Smith_Single-Leg_Split_Squat;alias;Smith Single-Leg Split Squat;Bulgarian Split Squat;equipment_conflict;reject;;;;;;;
Split_Squats;alias;Split Squats;Bulgarian Split Squat;category_conflict;reject;;;;;;;
Standing_Barbell_Calf_Raise;alias;Standing Barbell Calf Raise;Calf Raise;equipment_conflict;reject;;;;;;;
Standing_Dumbbell_Calf_Raise;alias;Standing Dumbbell Calf Raise;Calf Raise;equipment_conflict;reject;;;;;;;
Standing_Dumbbell_Press;alias;Standing Dumbbell Press;OHP;equipment_conflict;reject;;;;;;;
Standing_Dumbbell_Reverse_Curl;alias;Standing Dumbbell Reverse Curl;Reverse Curl;equipment_conflict;reject;;;;;;;
Standing_Dumbbell_Upright_Row;alias;Standing Dumbbell Upright Row;Upright Row;equipment_conflict;reject;;;;;;;
